Key,File,Type,english,japanese
BackpackAdvancedFortitudeDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+30[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+3 Fortitude[-]\nCan use Items: [FF0000]Fortitude ONLY[-]\nUnlocks: [00FF00]Fortitude[-]\nCraft Tier: [00FF00]+1 Fortitude[-],運搬: [00FF00]+30[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+3 忍耐[-]\n使用可能アイテム: [FF0000]忍耐 ONLY[-]\nアンロック: [00FF00]忍耐[-]\nクラフトティア: [00FF00]+1 忍耐[-]
BackpackAdvancedIntellect,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Advanced: Intellect""",職業用バックパック「上級: 知能」
BackpackAdvancedIntellectBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Advanced: Intellect""",職業用バックパック「上級: 知能」
BackpackAdvancedIntellectDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+30[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+3 Intellect[-]\nCan use Items: [FF0000]Intellect ONLY[-]\nUnlocks: [00FF00]Intellect[-]\nCraft Tier: [00FF00]+1 Intellect[-],運搬: [00FF00]+30[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+3 知能[-]\n使用可能アイテム: [FF0000]知能 ONLY[-]\nアンロック: [00FF00]知能[-]\nクラフトティア: [00FF00]+1 知能[-]
BackpackAdvancedPerception,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Advanced: Perception""",職業用バックパック「上級: 知覚」
BackpackAdvancedPerceptionBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Advanced: Perception""",職業用バックパック「上級: 知覚」
BackpackAdvancedPerceptionDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+30[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+3 Perception[-]\nCan use Items: [FF0000]Perception ONLY[-]\nUnlocks: [00FF00]Perception[-]\nCraft Tier: [00FF00]+1 Perception[-],運搬: [00FF00]+30[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+3 知覚[-]\n使用可能アイテム: [FF0000]知覚 ONLY[-]\nアンロック: [00FF00]知覚[-]\nクラフトティア: [00FF00]+1 知覚[-]
BackpackAdvancedStrength,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Advanced: Strength""",職業用バックパック「上級: 強さ」
BackpackAdvancedStrengthBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Advanced: Strength""",職業用バックパック「上級: 強さ」
BackpackAdvancedStrengthDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+30[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+3 Strength[-]\nCan use Items: [FF0000]Strength ONLY[-]\nUnlocks: [00FF00]Strength[-]\nCraft Tier: [00FF00]+1 Strength[-],運搬: [00FF00]+30[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+3 強さ[-]\n使用可能アイテム: [FF0000]強さ ONLY[-]\nアンロック: [00FF00]強さ[-]\nクラフトティア: [00FF00]+1 強さ[-]
BackpackBasicAgility,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Basic: Agility""",職業用バックパック「初級: 素早さ」
BackpackBasicAgilityBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Basic: Agility""",職業用バックパック「初級: 素早さ」
BackpackBasicAgilityDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+50[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+1 Agility[-]\nCan use Items: [00FF00]All items[-]\nUnlocks: [00FF00]Agility[-]\nCraft Tier: [FF0000]None[-],運搬: [00FF00]+50[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+1 素早さ[-]\n使用可能アイテム: [00FF00]全て[-]\nアンロック: [00FF00]素早さ[-]\nクラフトティア: [FF0000]なし[-]
BackpackBasicFortitude,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Basic: Fortitude""",職業用バックパック「初級: 忍耐」
BackpackBasicFortitudeBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Basic: Fortitude""",職業用バックパック「初級: 忍耐」
BackpackBasicFortitudeDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+50[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+1 Fortitude[-]\nCan use Items: [00FF00]All items[-]\nUnlocks: [00FF00]Fortitude[-]\nCraft Tier: [FF0000]None[-],運搬: [00FF00]+50[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+1 忍耐[-]\n使用可能アイテム: [00FF00]全て[-]\nアンロック: [00FF00]忍耐[-]\nクラフトティア: [FF0000]なし[-]
BackpackBasicIntellect,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Basic: Intellect""",職業用バックパック「初級: 知能」
BackpackBasicIntellectBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Basic: Intellect""",職業用バックパック「初級: 知能」
BackpackBasicIntellectDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+50[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+1 Intellect[-]\nCan use Items: [00FF00]All items[-]\nUnlocks: [00FF00]Intellect[-]\nCraft Tier: [FF0000]None[-],運搬: [00FF00]+50[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+1 知能[-]\n使用可能アイテム: [00FF00]全て[-]\nアンロック: [00FF00]知能[-]\nクラフトティア: [FF0000]なし[-]
BackpackBasicPerception,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Basic: Perception""",職業用バックパック「初級: 知覚」
BackpackBasicPerceptionBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Basic: Perception""",職業用バックパック「初級: 知覚」
BackpackBasicPerceptionDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+50[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+1 Perception[-]\nCan use Items: [00FF00]All items[-]\nUnlocks: [00FF00]Perception[-]\nCraft Tier: [FF0000]None[-],運搬: [00FF00]+50[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+1 知覚[-]\n使用可能アイテム: [00FF00]全て[-]\nアンロック: [00FF00]知覚[-]\nクラフトティア: [FF0000]なし[-]
BackpackBasicStrength,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Basic: Strength""",職業用バックパック「初級: 強さ」
BackpackBasicStrengthBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Basic: Strength""",職業用バックパック「初級: 強さ」
BackpackBasicStrengthDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+50[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+1 Strength[-]\nCan use Items: [00FF00]All items[-]\nUnlocks: [00FF00]Strength[-]\nCraft Tier: [FF0000]None[-],運搬: [00FF00]+50[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+1 強さ[-]\n使用可能アイテム: [00FF00]全て[-]\nアンロック: [00FF00]強さ[-]\nクラフトティア: [FF0000]なし[-]
BackpackMiddleAgility,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Middle: Agility""",職業用バックパック「中級: 素早さ」
BackpackMiddleAgilityBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Middle: Agility""",職業用バックパック「中級: 素早さ」
BackpackMiddleAgilityDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+40[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+2 Agility[-]\nCan use Items: [FF0000]Agility ONLY[-]\nUnlocks: [00FF00]Agility[-]\nCraft Tier: [FF0000]None[-],運搬: [00FF00]+40[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+2 素早さ[-]\n使用可能アイテム: [FF0000]素早さ ONLY[-]\nアンロック: [00FF00]素早さ[-]\nクラフトティア: [FF0000]なし[-]
BackpackMiddleFortitude,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Middle: Fortitude""",職業用バックパック「中級: 忍耐」
BackpackMiddleFortitudeBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Middle: Fortitude""",職業用バックパック「中級: 忍耐」
BackpackMiddleFortitudeDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+40[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+2 Fortitude[-]\nCan use Items: [FF0000]Fortitude ONLY[-]\nUnlocks: [00FF00]Fortitude[-]\nCraft Tier: [FF0000]None[-],運搬: [00FF00]+40[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+2 忍耐[-]\n使用可能アイテム: [FF0000]忍耐 ONLY[-]\nアンロック: [00FF00]忍耐[-]\nクラフトティア: [FF0000]なし[-]
BackpackMiddleIntellect,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Middle: Intellect""",職業用バックパック「中級: 知能」
BackpackMiddleIntellectBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Middle: Intellect""",職業用バックパック「中級: 知能」
BackpackMiddleIntellectDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+40[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+2 Intellect[-]\nCan use Items: [FF0000]Intellect ONLY[-]\nUnlocks: [00FF00]Intellect[-]\nCraft Tier: [FF0000]None[-],運搬: [00FF00]+40[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+2 知能[-]\n使用可能アイテム: [FF0000]知能 ONLY[-]\nアンロック: [00FF00]知能[-]\nクラフトティア: [FF0000]なし[-]
BackpackMiddlePerception,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Middle: Perception""",職業用バックパック「中級: 知覚」
BackpackMiddlePerceptionBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Middle: Perception""",職業用バックパック「中級: 知覚」
BackpackMiddlePerceptionDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+40[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+2 Perception[-]\nCan use Items: [FF0000]Perception ONLY[-]\nUnlocks: [00FF00]Perception[-]\nCraft Tier: [FF0000]None[-],運搬: [00FF00]+40[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+2 知覚[-]\n使用可能アイテム: [FF0000]知覚 ONLY[-]\nアンロック: [00FF00]知覚[-]\nクラフトティア: [FF0000]なし[-]
BackpackMiddleStrength,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Middle: Strength""",職業用バックパック「中級: 強さ」
BackpackMiddleStrengthBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Middle: Strength""",職業用バックパック「中級: 強さ」
BackpackMiddleStrengthDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+40[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+2 Strength[-]\nCan use Items: [FF0000]Strength ONLY[-]\nUnlocks: [00FF00]Strength[-]\nCraft Tier: [FF0000]None[-],運搬: [00FF00]+40[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+2 強さ[-]\n使用可能アイテム: [FF0000]強さ ONLY[-]\nアンロック: [00FF00]強さ[-]\nクラフトティア: [FF0000]なし[-]
buffRadiation01,WhiteRiverToC_zPOWER_UP_KIT,buffs,Hazardous Radiation,危険放射線
buffRadiation01,WhiteRiverToC_zPOWER_UP_KIT,buffs,Hazardous Radiation,危険放射線
buffRadiation01DecDesc,WhiteRiverToC_zPOWER_UP_KIT,buffs,Decreasing Poisoning,中毒の減少
buffRadiation01DecDesc,WhiteRiverToC_zPOWER_UP_KIT,buffs,Decreasing Poisoning,中毒の減少
buffRadiation01DecName,WhiteRiverToC_zPOWER_UP_KIT,buffs,Decreasing Poisoning,中毒の減少
buffRadiation01DecName,WhiteRiverToC_zPOWER_UP_KIT,buffs,Decreasing Poisoning,中毒の減少
buffRadiation01DecTooltip,WhiteRiverToC_zPOWER_UP_KIT,buffs,You are effectively reducing your radiation poisoning.,放射線被曝を効果的に減らすことができる。
buffRadiation01DecTooltip,WhiteRiverToC_zPOWER_UP_KIT,buffs,You are effectively reducing your radiation poisoning.,放射線被曝を効果的に減らすことができる。
buffRadiation01Desc,WhiteRiverToC_zPOWER_UP_KIT,buffs,"You have entered an area with radioactive contamination. Getting wet in this area will increase radiation absorption.Increased radiation will make you weaker and more susceptible to injuries. 100% radiation will give you mortal injuries.Put on the Hazmat Suit or equip Hazmat Liner Mods to reduce exposure.Exiting the Wasteland slowly decreases radiation poisoning, while clean rain or immersion in uncontaminated water will more effectively remove radioactive contaminants.",あなたは放射能汚染地域に入った。このエリアで水に濡れると、放射線の吸収率が上がります。放射線量が増えると、体が弱くなり、怪我をしやすくなります。ウェイストランドからゆっくり出ると放射能中毒が減少し、きれいな雨や汚染されていない水に浸かると、より効果的に放射能汚染物質を取り除くことができます。
buffRadiation01Desc,WhiteRiverToC_zPOWER_UP_KIT,buffs,"You have entered an area with radioactive contamination. Getting wet in this area will increase radiation absorption.Increased radiation will make you weaker and more susceptible to injuries. 100% radiation will give you mortal injuries.Put on the Hazmat Suit or equip Hazmat Liner Mods to reduce exposure.Exiting the Wasteland slowly decreases radiation poisoning, while clean rain or immersion in uncontaminated water will more effectively remove radioactive contaminants.",あなたは放射能汚染地域に入った。このエリアで水に濡れると、放射線の吸収率が上がります。放射線量が増えると、体が弱くなり、怪我をしやすくなります。ウェイストランドからゆっくり出ると放射能中毒が減少し、きれいな雨や汚染されていない水に浸かると、より効果的に放射能汚染物質を取り除くことができます。
buffRadiation01IncDesc,WhiteRiverToC_zPOWER_UP_KIT,buffs,Increasing Poisoning,中毒の増加
buffRadiation01IncDesc,WhiteRiverToC_zPOWER_UP_KIT,buffs,Increasing Poisoning,中毒の増加
buffRadiation01IncName,WhiteRiverToC_zPOWER_UP_KIT,buffs,Increasing Poisoning,中毒の増加
buffRadiation01IncName,WhiteRiverToC_zPOWER_UP_KIT,buffs,Increasing Poisoning,中毒の増加
buffRadiation01IncTooltip,WhiteRiverToC_zPOWER_UP_KIT,buffs,Radiation exposure is increasing your radiation poisoning.,放射線被曝は放射能中毒を増やしている。
buffRadiation01IncTooltip,WhiteRiverToC_zPOWER_UP_KIT,buffs,Radiation exposure is increasing your radiation poisoning.,放射線被曝は放射能中毒を増やしている。
buffRadiation01Name,WhiteRiverToC_zPOWER_UP_KIT,buffs,Hazardous Radiation,危険放射線
buffRadiation01Name,WhiteRiverToC_zPOWER_UP_KIT,buffs,Hazardous Radiation,危険放射線
buffRadiation01Tooltip,WhiteRiverToC_zPOWER_UP_KIT,buffs,You are exposed to high levels of radiation.,あなたは高レベルの放射線にさらされている。
buffRadiation01Tooltip,WhiteRiverToC_zPOWER_UP_KIT,buffs,You are exposed to high levels of radiation.,あなたは高レベルの放射線にさらされている。
buffRadSuit,WhiteRiverToC_zPOWER_UP_KIT,buffs,Radiation Protection,放射線防護
buffRadSuit,WhiteRiverToC_zPOWER_UP_KIT,buffs,Radiation Protection,放射線防護
buffRadSuitDesc,WhiteRiverToC_zPOWER_UP_KIT,buffs,You are protected from dangerous exposure to radiation,危険な放射線被曝から保護される
buffRadSuitDesc,WhiteRiverToC_zPOWER_UP_KIT,buffs,You are protected from dangerous exposure to radiation,危険な放射線被曝から保護される
buffRadSuitName,WhiteRiverToC_zPOWER_UP_KIT,buffs,Radiation Protection,放射線防護
buffRadSuitName,WhiteRiverToC_zPOWER_UP_KIT,buffs,Radiation Protection,放射線防護
buffRadSuitTooltip,WhiteRiverToC_zPOWER_UP_KIT,buffs,You have equiped protective gear to reduce radiation exposure and decrease radiation poisoning.,放射線被曝を減らし、放射線中毒を減らすために防護服を装備している。
buffRadSuitTooltip,WhiteRiverToC_zPOWER_UP_KIT,buffs,You have equiped protective gear to reduce radiation exposure and decrease radiation poisoning.,放射線被曝を減らし、放射線中毒を減らすために防護服を装備している。
carAmeliaBattery,WhiteRiverToC_Amelias_Gyrocopter,items,[7fa6ff]Amelia Earhart's[-] - Battery,[7fa6ff][アメリア・イアハート][-] - バッテリー
carAmeliaBatteryDesc,WhiteRiverToC_Amelias_Gyrocopter,items,A lead acid battery built using highly refined Lead. A potent mixture.,高度に精製された鉛を使って作られた鉛蓄電池。強力な混合物。
challenge_itsjustbusinessman,WhiteRiverToC_zPOWER_UP_KIT,quests,It's Just Business Man,ビジネス・マン
challenge_itsjustbusinessman_offer,WhiteRiverToC_zPOWER_UP_KIT,quests,"Dear Stranger,Some day, and that day may never come, I will call upon you to do a service for me. But until that day, consider this justice a gift on my daughter's wedding day. ‘Don' VitoC.Challenge: Kill some zombie Businessmen",親愛なる見知らぬ人へ、いつの日か、いや、その日は来ないかもしれないが、私はあなたに私のために奉仕することを求めるだろう。しかし、その日まで、この正義は娘の結婚式の日の贈り物だと思ってくれ。ドン'ヴィトC.チャレンジ：ゾンビビジネスマンを倒す
challenge_itsjustbusinessman_subtitle,WhiteRiverToC_zPOWER_UP_KIT,quests,Whack some 'Associates',アソシエイツ」を叩く
challenge_partyallthetime,WhiteRiverToC_zPOWER_UP_KIT,quests,Party All the Time,パーティー・オール・ザ・タイム
challenge_partyallthetime_offer,WhiteRiverToC_zPOWER_UP_KIT,quests,"Girl, I can't understand it, why you want to hurt me?After all the things I've done for you? I buy you champagne and roses, put diamonds on your finger.. Diamonds. On your fingers. Still you hang out all night.. What am I to do? Crazy ‘Like a Fox' EddieChallenge: Kill some zombie Party Girls",お嬢さん、理解できないんだ。どうして私を傷つけたいんだい？シャンパンとバラを買い ダイヤを指に...ダイヤ...指に。それでも一晩中...どうすればいいんだ？クレイジー'ライク・ア・フォックス'エディチャレンジ：ゾンビパーティーガールをやっつけろ
challenge_partyallthetime_subtitle,WhiteRiverToC_zPOWER_UP_KIT,quests,She Just Wants To,彼女はただ望んでいる
challenge_zombieHazmat,WhiteRiverToC_zPOWER_UP_KIT,quests,Hazardous Materials Handling - Challenge,危険物処理 - チャレンジ
challenge_zombieHazmat_offer,WhiteRiverToC_zPOWER_UP_KIT,quests,Defeat the vicious Hazmat team and obtain protective equipment.,凶悪な危険物処理班を倒し、保護具を入手しましょう。
challenge_zombieHazmat_subtitle,WhiteRiverToC_zPOWER_UP_KIT,quests,Take down the Hazmat team.,危険物処理班を倒す
craftingAmeliasDesc,WhiteRiverToC_Amelias_Gyrocopter,progression,"White River Civic Tools, craft skills of [7fa6ff] Amelia Earhart [-].",ホワイト・リバー市民ツール、[7fa6ff]アメリア・イアハート[-]のクラフトスキルです。
craftingAmeliasName,WhiteRiverToC_Amelias_Gyrocopter,progression,[7fa6ff]WRC[-] - Amelia Earhart's,[7fa6ff]WRC[-] - アメリア・イアハート
craftingTazasDesc,WhiteRiverToC_Tazas_Axe,progression,"White River Civic Tools, [2eb200] Legendary Taza [-] craft skills.",ホワイト・リバー市民ツール、[2eb200]伝説のタザ[-]のクラフトスキルです。
craftingTazasName,WhiteRiverToC_Tazas_Axe,progression,[2eb200]WRC[-] - Legendary Taza's,[2eb200]WRC[-] - 伝説のタザ
craftingVengeanceDesc,WhiteRiverToC_Spirit_of_Vengence,progression,"White River Civic Tools, craft skills of [7fa6ff] Amelia Earhart [-].",ホワイト・リバー市民ツール、[7fa6ff]復讐魂ヘルビースト[-]のクラフトスキルです。
craftingVengeanceName,WhiteRiverToC_Spirit_of_Vengence,progression,[7fa6ff]WRC[-] - Spirit of Vengeance hell beast,[7fa6ff]WRC[-] - 復讐魂ヘルビースト
dialog_FuriousRamsayBlackShieldTrader_statement_start,WhiteRiverToC_Tazas_Axe,dialogs,Welcome!,ようこそ！
drinkJarBoiledWaterBundle,WhiteRiverToC_zPOWER_UP_KIT,items,Hot water pack,お湯パック
drinkJarBoiledWaterBundleDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Create hot water using a bucket with water in an empty bottle.,空き瓶に水入りバケツを使用してお湯を作成します。
drinkJarGrandpasLearningElixir,WhiteRiverToC_zPOWER_UP_KIT,items,Grandpa's Learnin' Elixir,おじいちゃんの万能薬
drinkJarRiverWaterBundle,WhiteRiverToC_zPOWER_UP_KIT,items,Mud pack,泥水パック
drinkJarRiverWaterBundleDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Create muddy water using a bucket with water in an empty bottle.,空き瓶に水入りバケツを使用して泥水を作成します。
drinkYuccaJuiceSmoothieDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Unlocks Yucca Juice Smoothie.,ユッカジューススムージーのロックを解除する。
EntityLootContainer_WRCTazas,WhiteRiverToC_zPOWER_UP_KIT,entityclasses,Taza's Reward,戦利品「タザ」
EntityLootContainerzombieMaleHazmat,WhiteRiverToC_zPOWER_UP_KIT,items,Hazmat team drop-offs,危険物処理班の落とし物
FuriousRamsayBlackShieldTrader,WhiteRiverToC_Tazas_Axe,blocks,[DECEA]WRC[-] Trader,[DECEA]WRC[-]トレーダー
FuriousRamsayBlackShieldTraderDesc,WhiteRiverToC_Tazas_Axe,blocks,[DECEA]WRC[-] Trader,任意の場所にWRCトレーダーを派遣することができます。
FuriousRamsayFarmerTrader,WhiteRiverToC_Amelias_Gyrocopter,blocks,White River [7fa6ff]Amelia Earhart's[-] Trader,[7fa6ff]アメリア[-]トレーダー
FuriousRamsayFarmerTraderDesc,WhiteRiverToC_Amelias_Gyrocopter,blocks,White River [7fa6ff]Amelia Earhart's[-] Trader,任意の場所にWRCトレーダーを派遣することができます。
FuriousRamsayHandymanTrader,WhiteRiverToC_Spirit_of_Vengence,blocks,White River [7fa6ff]Vengeance[-] Trader,[7fa6ff]復讐魂[-]トレーダー
FuriousRamsayHandymanTraderDesc,WhiteRiverToC_Spirit_of_Vengence,blocks,White River [7fa6ff]Vengeance[-] Trader,任意の場所にWRCトレーダーを派遣することができます。
FuriousRamsayNPCBlackShieldTrader1,WhiteRiverToC_Tazas_Axe,entityclasses,[DECEA]WRC[-] Trader,[DECEA]WRC[-]トレーダー
FuriousRamsayNPCBlackShieldTrader1,WhiteRiverToC_Tazas_Axe,entityclasses,[DECEA]WRC[-] Trader,[DECEA]WRC[-]トレーダー
FuriousRamsayNPCFarmerKatieTrader,WhiteRiverToC_Amelias_Gyrocopter,entityclasses,White River [7fa6ff]Amelia Earhart's[-] Trader,[7fa6ff]アメリア[-]トレーダー
FuriousRamsayNPCHandymanLukeTrader,WhiteRiverToC_Spirit_of_Vengence,entityclasses,White River [7fa6ff]Vengeance[-] Trader,[7fa6ff]復讐魂[-]トレーダー
gunBowT0TazasPrimitiveBow,WhiteRiverToC_zPOWER_UP_KIT,items,Taza's Bow,タサの弓
h7sb_backpackDesc,WhiteRiverToC_zPOWER_UP_KIT,,Capacity: [00FF00]+60[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [FF0000]N/A[-]\nCan use Items: [FF0000]All items[-]\nUnlocks: [FF0000]N/A[-]\nCraft Tier: [FF0000]N/A[-],運搬: [00FF00]+60[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [FF0000]使用不可[-]\n使用可能アイテム: [00FF00]すべて[-]\nアンロック: [FF0000]スキル本のみ[-]\nクラフトティア: [FF0000]なし[-]
h7sb_bumbag,WhiteRiverToC_zPOWER_UP_KIT,items,"Class backpack ""Unemployed""",職業用バックパック「すっぴん」
h7sb_bumbagBlock,WhiteRiverToC_zPOWER_UP_KIT,items,"Class backpack ""Unemployed""",職業用バックパック「すっぴん」
journalTipattGeneral,WhiteRiverToC_zPOWER_UP_KIT,items,"SummaryAdjust so that general perks other than combat skills can be assigned regardless of the level of the parent skill. \nSpec: Adjust perks other than combat skills to be set under ""general skills"" so that points can be allocated regardless of the level of the parent skill. Set the points for level up to a uniform 3p.",[DECEA3]概要[-]:\n戦闘技能以外の一般パークを独立させ、親スキルのレベルに関係なく割り振れるように調整します。\n\n[DECEA3]仕様[-]:\n・「一般スキル」を新規追加。\n・レベルアップのポイントを一律3Pとする。
journalTipattGeneral_title,WhiteRiverToC_zPOWER_UP_KIT,items,[DECEA3]WRC[-] - Adjustments to General Park,[DECEA3]WRC[-] - 一般パークに対する調整
